,Title,Year,Release Date,Rating,Num Raters,Popularity,Runtime (hrs),Budget ($),Revenue ($),Profit ($),Genres,Actors,Keywords,Production Companies,Countries
1530,Collateral Beauty,2016,2016-12-06,7.3,4872,23.801,1.62,36000000,88528280,52528280.0,"['Drama', 'Romance']","['Will Smith', 'Edward Norton', 'Kate Winslet', 'Michael Peña', 'Helen Mirren', 'Jacob Latimore', 'Keira Knightley', 'Naomie Harris', 'Ann Dowd', 'Enrique Murciano', 'Kylie Rogers', 'Natalie Gold', 'Liza Colón-Zayas', 'Shirley Rumierk', 'Alyssa Cheatham', 'Benjamin Snyder', 'Mary Beth Peil', 'Andy Taylor', 'Michael Cumpsty', 'Claire Glassford', 'Joseph Castillo-Midyett', 'Bryan Terrell Clark', 'Marcus Paul James', 'Mykal Kilgore', 'Jimmy Palumbo', 'Elia Monte-Brown', 'Suzy Jane Hunt', 'Crystal Anne Dickinson', 'Andres Munar', 'Harriett D. Foy', 'Maureen Mueller', 'Steven Hauck', ""Robert 'Toshi' Kar Yuen Chan"", 'Willie C. Carpenter', 'Jabriah Anderson', 'Laura Hart', 'Emily Bennett', 'Liz Celeste', 'Madeline Lupi', 'Jordana Keller', 'Reginald L. Barnes', 'Lily Peterson']","['Despair', 'Loss', 'Grief', 'Death', 'Grieving Father']","['Village Roadshow Pictures', 'Likely Story', 'Anonymous Content', 'New Line Cinema', 'PalmStar Media', 'Overbrook Entertainment']",['United States of America']
1531,The Meg,2018,2018-08-09,6.2,5857,74.871,1.88,150000000,530243742,380243742.0,"['Action', 'Science Fiction', 'Horror']","['Jason Statham', 'Li Bingbing', 'Rainn Wilson', 'Cliff Curtis', 'Ruby Rose', 'Robert Taylor', 'Ólafur Darri Ólafsson', 'Jessica McNamee', 'Winston Chao', 'Shuya Sophia Cai', 'Page Kennedy', 'Masi Oka', 'Raymond Vinton', 'Mai Hongmei', 'Wei Yi', 'Vithaya Pansringarm', 'Rob Kipa-Williams', 'Tawanda Manyimo', 'Mark Trotter', 'James Gaylyn', 'Andrew Grainger', 'Steven A. Davis', 'Glen Levy', 'Edwin Wright', 'Sui Fong Ivy Tsui', 'Jeremy Tan', 'Douglas Lee', 'Tim Wong', 'Yoson An', 'Yao Yao', 'Leand Macadaan']","['Ocean', 'Based On Novel Or Book', 'Beach', 'Deep Sea', 'Creature', 'Shark', 'Oceanic Expedition', 'Kaiju', 'Submersible', 'Under Water', 'Megalodon', 'Extinct', 'Underwater Facility', 'Mariana Trench']","['Apelles Entertainment', 'Gravity Pictures', 'Di Bonaventura Pictures', 'Flagship Entertainment Group', 'Maeday Productions', 'Warner Bros. Pictures']","['China', 'United States of America']"
1532,It,2017,2017-09-06,7.2,16453,67.402,2.25,35000000,701842551,666842551.0,"['Horror', 'Fantasy']","['Jaeden Martell', 'Jeremy Ray Taylor', 'Sophia Lillis', 'Finn Wolfhard', 'Chosen Jacobs', 'Jack Dylan Grazer', 'Wyatt Oleff', 'Bill Skarsgård', 'Nicholas Hamilton', 'Jake Sim', 'Logan Thompson', 'Owen Teague', 'Jackson Robert Scott', 'Stephen Bogaert', 'Stuart Hughes', 'Geoffrey Pounsett', 'Pip Dwyer', 'Molly Atkinson', 'Steven Williams', 'Elizabeth Saunders', 'Megan Charpentier', 'Joe Bostick', 'Ari Cohen', 'Anthony Ulc', 'Javier Botet', 'Katie Lunman', 'Carter Musselman', 'Tatum Lee', 'Edie Inksetter', 'Kasie Rayner', 'Isabelle Nélisse', 'Neil Crone', 'Sonia Gascón', 'Janet Porter', 'Roberto Campanella', 'Kate Moyer', 'Kelly Van der Burg', 'Martha Gibson', 'Jocelyn Mattka', 'Don Tripe', 'Liz Gordon', 'Paige Rosamond', 'Memo Díaz Capt.', 'Chantal Vachon', 'David Katzenberg']","['Based On Novel Or Book', 'Small Town', 'Clown', 'Bullying', 'Abandoned House', 'Murder', 'Flashback', 'Balloon', 'Maine', 'School', 'Creature', 'Fear', 'Summer', 'Killer', 'Missing Person', 'Death Of Brother', 'Well', 'Child', 'Demonic', 'Town History', 'It']","['RatPac Entertainment', 'New Line Cinema', 'Vertigo Entertainment', 'Lin Pictures', 'KatzSmith Productions', 'Warner Bros. Pictures']",['United States of America']
1533,Paddington 2,2017,2017-11-09,7.5,1718,24.578,1.73,40000000,227300000,187300000.0,"['Adventure', 'Comedy', 'Family']","['Ben Whishaw', 'Hugh Bonneville', 'Sally Hawkins', 'Samuel Joslin', 'Madeleine Harris', 'Julie Walters', 'Brendan Gleeson', 'Hugh Grant', 'Peter Capaldi', 'Jim Broadbent', 'Simon Farnaby', 'Imelda Staunton', 'Michael Gambon', 'Ben Miller', 'Sanjeev Bhaskar', 'Joanna Lumley', 'Richard Ayoade', 'Nicholas Woodeson', 'Tom Conti', 'Eileen Atkins', 'Marie-France Alvarez', 'Jessica Hynes', 'Noah Taylor', 'Shola Adewusi', 'Nadine Marshall', 'Michael Mears', 'Louis Partridge', 'Robbie Gee', 'Enzo Squillino Jr.', 'Sam Payne', 'Catherine Shepherd', 'Claire Keelan', 'Meera Syal', 'Geoffrey Lumb', 'Alex Jordan', 'Kobna Holdbrook-Smith', 'Virgile Elana', 'Emeson Nwolie', 'Nicholas Lumley', 'Stephen McDade', 'Deepak Anand', 'Cal McCrystal', 'Aaron Neil', 'Geoff Banks', 'Tom Davis', 'Jamie Demetriou', 'Stewart Gilchrist', 'Justin Edwards', 'Kya Garwood', 'Maggie Steed', 'Tim Fitzhigham', 'Joel Fry', 'David J Biscoe', 'Dan Antopolski', 'Gus Brown', 'David Sant', 'Jennie Legat', 'John Shearer', 'Hiten Patel', 'Jag Patel']","['London, England', 'Based On Novel Or Book', 'Sequel', 'Bear', 'Train', ""Based On Children'S Book"", 'Animal', 'Aging Actor', 'Live Action And Animation']","['Heyday Films', 'StudioCanal', 'Anton Capital Entertainment (ACE)', 'Amazon Prime Video', 'Canal+', 'Ciné+', 'Marmalade Films Ltd.']","['France', 'United Kingdom', 'United States of America']"
1534,Swiss Army Man,2016,2016-06-24,6.9,2864,22.864,1.62,3000000,4210454,1210454.0,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']","['Paul Dano', 'Daniel Radcliffe', 'Mary Elizabeth Winstead', 'Antonia Ribero', 'Timothy Eulich', 'Richard Gross', 'Marika Casteel', 'Andy Hull', 'Aaron Marshall', 'Shane Carruth', 'Jessica Harbeck']","['Beach', 'Friends', 'Survival', 'Dead Body', 'Corpse', 'Deserted Island', 'Buddy Comedy', 'Fart']","['BlackBird', 'Tadmor', 'Astrakan Films AB', 'Cold Iron Pictures', 'Prettybird']","['Sweden', 'United States of America']"
1535,Thank You for Your Service,2017,2017-10-26,6.5,271,11.925,1.82,20000000,9438370,-10561630.0,"['Drama', 'War']","['Miles Teller', 'Haley Bennett', 'Joe Cole', 'Amy Schumer', 'Beulah Koale', 'Scott Haze', 'Keisha Castle-Hughes', 'Brad Beyer', 'Omar J. Dorsey', 'Kate Lyn Sheil', 'Hunter Burke', 'Erin Darke', 'Allison King', 'Dennis L.A. White', 'Deneen Tyler', 'Jayson Warner Smith', 'Sean P McGoldrick', 'Kerry Cahill', 'Jake Weber']","['Post Traumatic Stress Disorder', 'Based On Novel Or Book', 'Biography', 'Soldier', 'Military', 'War Psychology']","['DreamWorks Pictures', 'Amblin Entertainment', 'Dune Films']",['United States of America']
1536,Solo: A Star Wars Story,2018,2018-05-15,6.6,7053,43.451,2.25,250000000,392952373,142952373.0,"['Science Fiction', 'Adventure', 'Action']","['Alden Ehrenreich', 'Joonas Suotamo', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover', 'Thandiwe Newton', 'Phoebe Waller-Bridge', 'Paul Bettany', 'Jon Favreau', 'Erin Kellyman', 'Linda Hunt', 'Ian Kenny', 'John Tui', 'Anna Francolini', 'Andrew Woodall', 'Warwick Davis', 'Shaquille Ali-Yebuah', 'Eben Figueiredo', 'Aaron Heffernan', 'Hal Fowler', 'Damian Farrell', 'Charlotte Louise', 'Sema-Tawi Smart', 'Clint Howard', 'Dee Tails', 'Attila Vajda', 'Anthony Daniels', 'Kiran Shah', 'Fraser Kelly', 'Lily Newmark', 'Jason Wong', 'Alice Hewkin', 'Samantha Colley', 'Robert Morgan', 'Miles Richardson', 'Sammy Hayman', 'Rona Morison', 'Dempsey Bovell', 'Joseph Charles', 'Dave Chapman', 'Katy Kartwheel', 'Harley Durst', 'Andrew Jack', 'Samuel Witwer', 'Ray Park', 'Toby Hefferman', 'Jonathan Kasdan', 'Richard Dixon', 'Deepak Anand', 'Al Clark', 'Samantha Alleyne', 'Juan Alonso', 'Derek Arnold', 'Belinda Chapple', 'Paul Davis', 'Kristianne-Kaith Domingo', 'John Duggan', 'Jordan Dumaurier', 'Vikki Edwards', 'Marc Esse', 'Kristine Fernandez', 'James Filanowski', 'James Galvin', 'Sean Gislingham', 'David Guerrero', 'Juke Hardy', 'Sarah Sayuri Hare', 'Ian Harrod', 'Philip Harvey', 'Robin Harvey', 'Marina Hayter', 'Brian Herring', 'Robert Hladik', 'Van-Tien Hoang', 'Kevin Hudson', 'Ty Hurley', 'Sean James', 'Tobias James-Samuels', 'Jackson Kai', 'John Kamau', 'Tyrone Kearns', 'Kamil Lemieszewski', 'Jorge Leon Martinez', 'Chelsea Li', 'Chelsea Mather', 'Obie Matthew', 'Kenny-Lee Mbanefo', 'Ashley McGuire', 'Daniel Prewitt', 'Jacqueline Ramnarine', 'Christina Richards', 'Belal Sabir', 'Sarah-Stephanie', 'Atul Sharma', 'Stephanie Silva', 'Neil Alexander Smith', 'Clem So', 'Richard Stanley', 'Karol Steele', 'A.k. Steppa', 'Fran Targ', 'Steven F. Thompson', 'Klemens Niklaus Trenkle', 'Jo Wheatley', 'Ray Whelan', 'John Whitby', 'Angela Yeoh', 'Mark Ryder']","['Spacecraft', 'Smuggling (Contraband)', 'Prequel', 'Spin Off', 'Space Opera']","['Lucasfilm', 'Walt Disney Pictures', 'Allison Shearmur Productions', 'Imagine Entertainment']",['United States of America']
1537,Pokémon the Movie: Hoopa and the Clash of Ages,2015,2015-07-18,6.7,200,57.466,1.22,150000000,0,,"['Family', 'Adventure', 'Animation', 'Action', 'Fantasy']","['Rica Matsumoto', 'Ikue Otani', 'Mayuki Makiguchi', 'Yuki Kaji', 'Mariya Ise', 'Megumi Satou', 'Megumi Hayashibara', 'Shin-ichiro Miki', 'Inuko Inuyama', 'Yuji Ueda', 'Unsho Ishizuka', 'Rie Kugimiya', 'Koichi Yamadera', 'Tatsuya Fujiwara', 'Shoko Nakagawa', 'Toshiyuki Morikawa', 'Shinichi Shinohara', 'Kiyotaka Furushima']",['Anime'],"['Shogakukan-Shueisha Productions', 'OLM', 'TV Tokyo']",['Japan']
1538,Jurassic World: Fallen Kingdom,2018,2018-06-06,6.6,9802,215.718,2.15,170000000,1303459585,1133459585.0,"['Action', 'Adventure', 'Science Fiction']","['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Toby Jones', 'Ted Levine', 'BD Wong', 'Jeff Goldblum', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Isabella Sermon', 'Geraldine Chaplin', 'Peter Jason', 'Robert Emms', 'Kevin Layne', 'John Schwab', 'Sam Redford', 'Charlie Rawes', 'Patrick Crowley', 'Alex Dower', 'Honey Holmes', 'Neil Bishop', 'Philippa Thomas', 'Ronan Summers', 'Cory Peterson', 'Jeremy Gilbert', 'Victor Gardener', 'Daryl Kwan', 'Eric Kofi Abrefa', 'Ben Peel', 'Mark Griffin', 'Paul Sockett', 'Doug Robson', 'Gil Kolirin', 'Nathan Florence', 'Bryan Phillips', 'Mitchell L. Johnson', 'Ian Copley-Johnson', 'Michael Papajohn', 'Daniel Stisen', 'Gary Weeks']","['Tyrannosaurus Rex', 'Volcano', 'Sequel', 'Rescue Mission', 'Wild Animal', 'Dinosaur', 'Genetic Engineering', 'Prehistoric Creature', 'Aftercreditsstinger', 'Monster Island']","['Amblin Entertainment', 'Legendary Pictures', 'Universal Pictures', 'Perfect World Pictures']",['United States of America']
1539,Mission: Impossible - Fallout,2018,2018-07-13,7.4,6570,63.842,2.45,178000000,791017452,613017452.0,"['Action', 'Adventure']","['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Vanessa Kirby', 'Michelle Monaghan', 'Wes Bentley', 'Frederick Schmidt', 'Alec Baldwin', 'Liang Yang', 'Kristoffer Joner', 'Wolf Blitzer', 'Dean Ashton', 'Alix Bénézech', 'Joey Ansah', 'Velibor Topic', 'Alexandre Poole', 'Andrew Cazanave Pin', 'Christophe de Choisy', 'Guy Remy', 'Jean Baptiste Fillon', 'Maximilian Geller', 'Olivier Huband', 'Raphael Desprez', 'Raphael Joner', 'Thierry Picaut', 'Vincent Latorre', 'Harvey Djent', 'Grahame Fox', 'David Mumeni', 'Charlie Archer', 'Caspar Phillipson', 'Ffion Jolly', 'Lolly Adefope', ""Ross O'Hennessy"", 'Russ Bain', 'Nigel Allen', 'Tracey Saunders', 'Alicia Mencía Castaño', 'Conny Sharp', 'Jessie Vinning', 'Stuart Davidson', 'Julianne Binard', 'Bernardo Santos', 'Lampros Kalfuntzos', 'Hiten Patel', 'Jag Patel', 'Godiva Marshall', 'Pamela Cook']","['Paris, France', 'London, England', 'Spy', 'Helicopter', 'Plutonium', 'Gun', 'Countdown', 'Race Against Time', 'Sequel', 'Motorcycle', 'Bomb Remote Detonator', 'Handgun', 'Hand To Hand Combat', 'Kashmir', 'Mission: Impossible', 'Mission Impossible', 'Live Action']","['Paramount', 'Bad Robot', 'Skydance Media', 'TC Productions', 'Alibaba Pictures Group']","['China', 'United States of America', 'France', 'Norway']"
1540,The Man Who Knew Infinity,2016,2016-04-08,7.2,1169,12.843,1.80,0,11472454,,['Drama'],"['Stephen Fry', 'Kevin McNally', 'Dev Patel', 'Devika Bhise', 'Jeremy Northam', 'Anthony Calf', 'Jeremy Irons', 'Pádraic Delaney', 'Shazad Latif', 'Roger Narayan', 'Arundathi Nag', 'Dhritiman Chatterjee', 'Richard Johnson', 'Raghuvir Joshi', 'Toby Jones', 'Malcolm Sinclair', 'San Shella', 'Richard Cunningham', 'Thomas Bewley', 'Pip Barclay', 'David Shaw-Parker', 'Dominic Cazenove', 'Nicholas Agnew', 'Alan Booty', 'Shenagh Govan', 'Alexander Forsyth', 'Enzo Cilenti', 'Elaine Caulfield', 'Alex Bartram', 'Christopher Ravenscroft', 'Imogen Sage']","['England', 'Based On Novel Or Book', 'Mathematician', 'Biography', 'Based On True Story', 'Doctor', '1910S', 'Madras']","['Animus Films', 'Pressman Film', 'Kreo Films FZ', 'Xeitgeist Entertainment Group', 'American Entertainment Investors', 'Cayenne Pepper Productions']","['United Kingdom', 'United States of America']"
1541,Jumanji: Welcome to the Jungle,2017,2017-12-09,6.8,11727,57.846,1.98,90000000,962102237,872102237.0,"['Adventure', 'Action', 'Comedy', 'Fantasy']","['Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan', 'Nick Jonas', 'Bobby Cannavale', ""Ser'Darius Blain"", 'Madison Iseman', 'Morgan Turner', 'Alex Wolff', 'Rhys Darby', 'Sean Buxton', 'Mason Guccione', 'Marin Hinkle', 'Tracey Bonner', 'Najah Jackson', 'Natasha Charles Parker', 'Kat Altman', 'Maribeth Monroe', 'Missi Pyle', 'Michael Shacket', 'Jamie Renell', 'Marc Evan Jackson', 'Carlease Burke', 'Jason New', 'William Tokarsky', 'Rohan Chand', 'Tait Fletcher', 'Stephen Dunlevy', 'Rob Mars', 'John Archer Lundgren', 'Darian Baker', 'Ryan Baughman', 'Na Bil', 'Maiya Boyd', 'Ruby Bustamante', 'Friday Chamberlain', 'Jeffery Clarke', 'Sarah Fawaz', 'Martin Feigen', 'Mario Fernandez', 'Juan Gaspard', 'Colin Hanks', 'Scott Hunter', 'Sylvia Jefferies', 'Jemarko Jones', 'Ashley Lonardo', 'Tim Matheson', 'Natasha Mayet', 'Kevin Montgomery', 'Stanislav Mruz', 'Virginia Newcomb', 'Demetrice Nguyen', 'Maddie Nichols', 'Max Ortiz Jr.', 'Danny Pardo', 'Cory Michael Peeler', 'Jonathan Louis Ramos', 'Chrysta-Lyn Rodrigues', 'Tad Sallee', 'Daniel Salyers', 'Tyler Stormant', 'Ted Williams', 'John Early', 'Lyric Jefferson']","['Video Game', 'Sequel', 'Jungle', 'Game', 'Explorer', 'Action Hero', 'Zoologist', 'Based On Young Adult Novel']","['Radar Pictures', 'Matt Tolmach Productions', 'Seven Bucks Productions', 'Columbia Pictures']",['United States of America']
1542,Regular Show: The Movie,2015,2015-09-01,7.8,269,40.842,1.17,3000000,0,,"['Animation', 'Comedy', 'Science Fiction', 'TV Movie']","['J.G. Quintel', 'Mark Hamill', 'Sam Marin', 'William Salyers', 'David Koechner', 'Jason Mantzoukas', 'Ali Hillis', 'Minty Lewis', 'Eddie Pepitone', 'Kurtwood Smith', 'Roger Craig Smith', 'Fred Tatasciore', 'Janie Haddad Tompkins', 'Paul F. Tompkins']","['Time Travel', 'Friendship']",['Cartoon Network Studios'],['United States of America']
1543,Coco,2017,2017-10-27,8.2,15671,201.261,1.75,175000000,800526015,625526015.0,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'Renée Victor', 'Jaime Camil', 'Alfonso Arau', 'Herbert Siguenza', 'Lombardo Boyar', 'Ana Ofelia Murguía', 'Sofía Espinosa', 'Dyana Ortelli', 'Gabriel Iglesias', 'Selene Luna', 'Natalia Córdova-Buckley', 'Edward James Olmos', 'Carla Medina', 'Luis Valdez', 'Blanca Araceli', 'Polo Rojas', 'Montse Hernandez', 'Octavio Solis', 'Cheech Marin', 'Salvador Reyes', 'John Ratzenberger', 'Antonio Sol', 'Liliana Barba Meinecke', 'Emmanuel Bernal', 'David Berón', 'Denise Blasor', 'Wilma Bonet', 'Alex Castillo', 'Vicki Davis', 'Roberto Donati', 'Efrain Figueroa', 'Deb Fink', 'Libertad García Fonzi', 'Emilio Fuentes', 'Daniella Garcia-Lorido', 'Mike Gomez', 'Lillian Groag', 'Joshua Guerrero', 'Montse Hernandez', 'Marabina Jaimes', 'Jossara Jinaro', 'Christian Lanz', 'Constanza Lechuga', 'Luisa Leschin', 'Ruth Livier', 'Maria Dominique Lopez', 'Valeria Maldonado', 'Richard Miro', 'Adrian Molina', 'Daniel Edward Mora', 'Vivianne Nacif', 'Adriana Sevahn Nichols', 'Jonathan Nichols', 'Arthur Ortiz', 'Jessica Pacheco', 'Juan Pacheco', 'Jacqueline Pinol', 'James Ponce', 'Al Rodrigo', 'J. Francisco Rodriguez', 'Polo Rojas', 'Eduardo Roman', 'Eddie Santiago', 'Melissa Santos', 'Luis Solís', 'Rosalba Sotelo', 'Chris Triana', 'Trujo', 'Lee Unkrich', 'Ruth Zalduondo', 'James Zavaleta', 'Bernardo Cubria', 'Gary Carlos Cervantes', 'Johnny A. Sanchez', 'Levi Nunez', 'Óscar Bonfiglio', 'Lalo Alcaraz', 'Marcela Davison Aviles', 'Carolina Ángel', 'Michael Giacchino', 'Daniel Díaz']","['Mexico', 'Guitar', 'Musician', 'Skeleton', 'Afterlife', 'Singer', 'Life After Death', 'Child', 'Day Of The Dead']","['Pixar', 'Walt Disney Pictures']","['Mexico', 'United States of America']"
1544,Why Him?,2016,2016-12-22,6.4,3563,30.278,1.85,38000000,118102725,80102725.0,['Comedy'],"['Bryan Cranston', 'James Franco', 'Zoey Deutch', 'Megan Mullally', 'Griffin Gluck', 'Keegan-Michael Key', 'Kaley Cuoco', 'Cedric the Entertainer', 'Zack Pearlman', 'Jee Young Han', 'Grace Ly Ngo Hazelett', 'Sadie Kate Ngo Hazelett', 'Casey Wilson', 'Andrew Rannells', 'Adam DeVine', 'Tangie Ambrose', 'Steve Bannos', 'Steve Aoki', 'Richard Blais', 'Elon Musk', 'Gene Simmons', 'Paul Stanley', 'Peter Criss', 'Chris A. Liscomb', 'Bob Stephenson', 'Mary Pat Gleason', 'Jacob Kemp', 'Juliette B. Reiss', 'Melissa Graver', 'Steffen Dziczek', 'Jimmy Badstibner', 'Ramy Youssef', 'Brenda Good', 'Harrison Bieker', 'Greg Worswick', 'George Kareman', 'Toby Turner', 'Craig Hosking', 'Lucy Angelo', 'Katelyn Brooke', 'Isabel Dresden', 'Lynly Ehrlich', 'Stevens Gaston', 'Liam Gillen', 'Braxton Goe', 'Alex J. Joseph', 'Jocelyn Marie', 'Derek McEntire', 'Arber Mehmeti', 'Isabelle Menard', 'Tim Neff', 'Saul Preciado-Garcia', 'Evan Seidlitz', 'Lee Stickler', 'Caleb Thomas', 'Emely von Oest']","['Daughter', 'Rivalry', 'Dad', 'Parent-In-Law Child-In-Law Relationship']","['21 Laps Entertainment', 'TSG Entertainment', '20th Century Fox', 'Red Hour']",['United States of America']
1545,Genocidal Organ,2017,2017-02-03,6.4,45,3.36,1.92,0,0,,"['Thriller', 'Science Fiction', 'Animation', 'Action', 'War']","['Yuichi Nakamura', 'Takahiro Sakurai', 'Akio Otsuka', 'Kaito Ishikawa', 'Sanae Kobayashi', 'Kazuhiro Yamaji', 'Takuya Kirimoto', 'Yuki Kaji', 'Rei Igarashi', 'Satoshi Mikami', 'Hiroki Goto', 'Hiroshi Naka', 'Rica Fukami', 'Shinya Takahashi', 'Takaya Hashi', 'Toru Okawa', 'Hiroomi Tamaru', 'Kenta Sasa', 'Takehiro Hasu', 'Naoto Kobayashi']",['Based On Novel Or Book'],"['Geno Studio', 'Manglobe']",['Japan']
1546,Ford v Ferrari,2019,2019-11-13,8.0,5739,66.743,2.55,97600000,225508210,127908210.0,"['Drama', 'Action', 'History']","['Christian Bale', 'Matt Damon', 'Jon Bernthal', 'Caitríona Balfe', 'Josh Lucas', 'Noah Jupe', 'Tracy Letts', 'Remo Girone', 'Ray McKinnon', 'JJ Feild', 'Jack McMullen', 'Corrado Invernizzi', 'Joseph Williamson', 'Ian Harding', 'Christopher Darga', 'Shawn Law', 'Emil Beheshti', 'Darrin Prescott', 'Alex Gurney', 'Benjamin Rigby', 'Ben Collins', 'Francesco Bauco', 'Guido Cocomello', 'Adam Mayfield', 'Sean Carrigan', 'Lachlan Buchanan', 'Giles Matthey', 'Rudolf Martin', 'Evan Arnold', 'Darin Cooper', 'Elizabeth Dement', 'Wallace Langham', 'Jonathan LaPaglia', 'Brad Beyer', 'Ottavio Taddei', 'Giovanni Cirfiera', 'Wyatt Nash', 'Drew Rausch', 'Ward Horton', 'Luigi Debiasse', 'Michael Lanahan', 'Tanner Foust', 'Peter Arpesella', 'Andrew Burlinson', 'Lou Beatty Jr.', 'Clement Larue', 'Olivier Blin', 'Marc Forget', 'Stephane Fiorenza', 'Joss Glennie-Smith', 'Tim Banning', 'Arron Shiver', 'Paul Fox', 'Zack Zublena', 'Aylam Orian', 'Kirt Kishita', 'Stefania Spampinato', 'Gian Franco Tordi', 'Cameron Taylor', 'James Tappan', ""Ryan O'Dell"", 'Mario Di Donato', 'Bonnie Antonini', 'Jenelle McKee', 'Grace Fae', 'Jan Munroe', 'Marisa Petroro', 'Leif Carlgren', 'Jon Francis Ueberroth', 'Camillo Faieta', 'Steven Ziel', 'Vernon Dew', 'Angelo Dibello', 'Larsen Deane', 'Craig Frosty Silva', 'Brad McCabe', 'Brent Pontin', 'Mark Krenik', 'Thomas John Rudolph', 'Luka Bale', 'David Horton']","['Based On Novel Or Book', 'Car Race', 'Car Mechanic', 'Biography', 'Sports', 'Based On True Story', 'Le Mans', 'Racing', 'Racecar Driver', 'Race Car Driver', '1960S']","['20th Century Fox', 'TSG Entertainment', 'Chernin Entertainment', 'Turnpike Films']",['United States of America']
1547,"Three Billboards Outside Ebbing, Missouri",2017,2017-12-01,8.1,8519,20.459,1.92,15000000,160192031,145192031.0,"['Crime', 'Drama']","['Frances McDormand', 'Sam Rockwell', 'Lucas Hedges', 'Woody Harrelson', 'Abbie Cornish', 'Caleb Landry Jones', 'Peter Dinklage', 'John Hawkes', 'Samara Weaving', 'Zeljko Ivanek', 'Clarke Peters', 'Amanda Warren', 'Kerry Condon', 'Darrell Britt-Gibson', 'Kathryn Newton', 'Sandy Martin', 'Riya May Atwood', 'Selah Atwood', 'Malaya Rivera Drew', 'Christopher Berry', 'Jerry Winsett', 'Brendan Sexton III', 'Alejandro Barrios', 'Jason Ledford', 'Gregory Nassif St. John', 'Allyssa Barley', 'William J. Harrison', 'Eleanor Threatt', 'Michael Aaron Milligan', 'Nick Searcy']","['Suicide', 'Rape', 'Police Brutality', 'Small Town', 'Missouri', 'Alcoholism', 'Murder', 'Dark Comedy', 'Cancer', 'Teenage Girl', 'Arson', 'Police Corruption', 'Racism', 'Anger', 'Billboard', 'Guilty Conscience', 'Molotov Cocktail', 'Pool Hall']","['Blueprint Pictures', 'Cutting Edge Group', 'Fox Searchlight Pictures', 'Film4 Productions']","['United Kingdom', 'United States of America']"
1548,The Grinch,2018,2018-11-08,6.8,2975,57.392,1.42,75000000,508575295,433575295.0,"['Animation', 'Family', 'Comedy', 'Fantasy']","['Benedict Cumberbatch', 'Rashida Jones', 'Kenan Thompson', 'Cameron Seely', 'Angela Lansbury', 'Pharrell Williams', 'Ramone Hamilton', 'Sam Lavagnino', 'Scarlett Estevez', 'Michael Beattie', 'Scott Mosier', 'Lori Alan', 'Carter Hastings', 'Carlos Alazraqui', 'John Kassir', 'Cathy Cavadini', 'Danny Mann', 'Meilee Condron', 'Frank Welker', ""Tristan O'Hare"", 'Doug Burch', 'Tucker Chandler', 'Townsend Coleman', 'Abby Craden', 'Brian T. Delaney', 'John DeMita', 'Bill Farmer', 'Aaron Fors', 'Willow Geer', 'Jess Harnell', 'Evan Kishiyama', 'Barbara Harris', 'Jeremy Maxwell', 'Laraine Newman', 'Dashiell Priestley', 'Alex Puccinelli', 'Emma Elizabeth Shannon', 'Joel Swetow', 'Mindy Sterling', 'Tara Strong', 'Regina Taufen', 'Jim Ward']","['Remake', 'Surrealism', ""Based On Children'S Book"", 'Christmas']","['Universal Pictures', 'Illumination Entertainment', 'Perfect World Pictures']",['United States of America']
